,Unnamed: 0,Unnamed: 0.1,fund.fundFamilyName,fund.globalId,legalName,analytics.expenseRatio,Africa,Asia Developed,Asia Emerging,Australasia,Canada,Europe Emerging,breakdowns.region.europeExEuro,breakdowns.region.eurozone,breakdowns.region.japan,breakdowns.region.latinAmerica,breakdowns.region.middleEast,breakdowns.region.other,United Kingdom,United States,breakdowns.region.unknown,breakdowns.stockSector.basicMaterials,breakdowns.stockSector.communicationServices,breakdowns.stockSector.consumerCyclical,breakdowns.stockSector.consumerDefensive,Energy,Financial Services,breakdowns.stockSector.healthcare,breakdowns.stockSector.industrials,breakdowns.stockSector.other,breakdowns.stockSector.realEstate,Technology,breakdowns.stockSector.unknown,breakdowns.stockSector.utilities,globalFundId,category,categoryId,fund,assetClass,assetType,risk.totalRisk,fund.priceReturnyr1,fund.priceReturnyr10,fund.priceReturnyr3,fund.priceReturnyr5,fund.histReturnyr1,fund.histReturnyr3,fund.histReturnyr5,fund.histSharpeRatioyr1,fund.histSharpeRatioyr3,fund.histSharpeRatioyr5,fund.histStdDevyr1,fund.histStdDevyr3,fund.histStdDevyr5,globalShareClassId,trackingErrorY1,trackingErrorY3,trackingErrorY5,final_performance,final_risk,final_tracking_error,risk_appetite
10,10,18,Handelsbanken Fonder AB,Z91YXVYV9,XACT Obligation ETF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z922YXWC7,SEK Diversified Bond,EUCA000600,0.0,Fixed Income,Fund,0.10750400997533956,-7.1361300000000005,0.0,-3.26783,-1.37896,-7.1361300000000005,-3.26783,-1.37896,-1.56,-1.05,-0.48,5.4,3.36,2.82,Z922YYNK7,2.75,1.89,1.73,-3.9276400000000002,3.86,2.123333333333333,low
11,11,21,PT BNI Asset Management,Z940P7LK0,BNI-AM Nusantara MSCI Indo Eqty Idx ETF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z95U30NM6,Indonesia Equity,EUCA000780,0.0,Equity,Fund,0.14322965005144472,3.70736,0.0,5.08389,0.0,3.70736,5.08389,0.0,0.0,0.15,0.0,12.92,19.72,0.0,Z95U30NN4,1.7,1.43,0.0,2.9304166666666664,10.88,1.0433333333333332,low
12,12,22,"PT, Avrist Asset Management",Z94EA8M64,Avrist Fixed Rate Bond I ETF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z95U30NK0,IDR Bond,EUCA000769,0.0,Fixed Income,Fund,0.09221792323047136,-4.07586,0.0,-0.44022,0.0,-4.07586,-0.44022,0.0,-2.3,-0.85,0.0,3.75,5.08,0.0,Z95U30NQ7,3.94,4.47,0.0,-1.5053599999999998,2.9433333333333334,2.8033333333333332,low
13,13,23,PT Samuel Aset Manajemen,Z94RLXUE2,Sam ETF Sri Kehati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z95U30NJ3,Indonesia Equity,EUCA000780,0.0,Equity,Fund,0.14322965005144472,7.19857,0.0,0.0,0.0,7.19857,0.0,0.0,0.24,0.0,0.0,14.62,0.0,0.0,Z95U30NR5,3.07,0.0,0.0,2.3995233333333332,4.873333333333333,1.0233333333333332,low
14,14,24,OSSIAM,Z94QXB1G6,Ossiam US Minimum Variance ESG NR UCITS ETF 1A (USD),0.65,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,1.0,96.88,0.04,2.92,9.99,3.24,17.03,3.0,11.55,19.08,3.02,0.0,4.12,7.59,0.05,18.41,Z94S7F1V9,US Large-Cap Value Equity,EUCA000528,0.0,Equity,Fund,0.1290517504050136,-3.5950900000000003,8.0879,6.52197,6.83759,-3.5950900000000003,6.52197,6.8376,-0.34,0.39,0.42,15.84,17.0,14.87,Z94S7F248,8.67,9.3,8.61,3.2548266666666663,15.903333333333334,8.86,medium
15,15,25,OSSIAM,Z95B4A7Z4,Ossiam Food for Biodiversity UCITS ETF Class 1A EUR Acc,0.75,0.0,0.0,0.0,4.35,5.51,0.0,10.36,9.42,8.79,0.0,0.0,0.0,18.35,43.13,0.09,6.19,0.0,26.02,66.94,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.08,0.0,Z957NJVK9,Other Equity,EUCA000539,0.0,Equity,Fund,0.1349977912068207,-3.04365,0.0,0.0,0.0,-3.04365,0.0,0.0,-0.46,0.0,0.0,20.96,0.0,0.0,Z957NJVZ6,0.0,0.0,0.0,-1.01455,6.986666666666667,0.0,low
16,16,31,UOB Asset Management Ltd,Z915P0WH2,United SSE 50 China ETF,0.45,0.0,0.0,99.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,7.88,0.29,6.36,25.98,3.0,29.18,6.94,5.1,0.0,1.82,8.49,0.25,4.71,Z922Z08G6,China Equity - A Shares,EUCA000896,0.0,Equity,Fund,0.21826036856108333,-18.44023,2.10582,-0.79159,-2.46911,-18.44023,-0.79159,-2.46912,-0.32,0.05,-0.02,25.55,19.78,18.82,Z922Z0Y93,11.27,9.14,9.03,-7.233646666666666,21.383333333333336,9.813333333333333,medium
17,17,32,PT KISI Asset Management,Z94F2R3F9,Reksa Dana Indeks KISI IDX Value30 ETF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z95X0DHH3,Indonesia Equity,EUCA000780,0.0,Equity,Fund,0.14322965005144472,11.80167,0.0,10.5984,0.0,11.80167,10.5984,0.0,0.47,0.37,0.0,17.18,26.63,0.0,Z95X0DHP5,9.28,11.55,0.0,7.46669,14.603333333333332,6.9433333333333325,low
18,18,33,DWS Investment S.A. (ETF),Z95GQ9MY8,Xtrackers II EUR Corporate Bond UCITS ETF (DR) 1D,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z922Z08M3,EUR Corporate Bond,EUCA000690,0.0,Fixed Income,Fund,0.05624599577302608,-11.02274,0.0,0.0,0.0,-11.02274,0.0,0.0,-1.19,0.0,0.0,9.78,0.0,0.0,Z95GJNV09,0.91,0.0,0.0,-3.674246666666667,3.26,0.3033333333333333,low
19,19,36,Amundi Luxembourg S.A.,Z948H2901,Amundi Index Solutions - Amundi Prime Japan UCITS ETF DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.93,0.0,0.0,0.0,0.0,0.0,1.07,4.87,8.39,15.31,6.76,0.77,9.62,10.47,23.37,0.0,3.51,14.52,1.08,1.33,Z948YRUX1,Japan Large-Cap Equity,EUCA000521,0.0,Equity,Fund,0.1323561747350905,5.19785,0.0,9.90199,0.0,7.5107300000000015,11.98899,0.0,0.61,0.86,0.0,13.49,14.58,0.0,Z948YRUZ6,1.09,1.38,0.0,6.499906666666668,9.356666666666667,0.8233333333333333,low
20,20,38,PT Indo Premier Investment Management,Z94TUCK70,Reksa Dana Indeks Premier ETF Index IDX30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z95X0DHV2,Indonesia Equity,EUCA000780,0.0,Equity,Fund,0.14322965005144472,-5.08344,0.0,0.0,0.0,-5.08344,0.0,0.0,-0.6,0.0,0.0,14.24,0.0,0.0,Z95X0DHY6,6.6,0.0,0.0,-1.6944800000000002,4.746666666666667,2.2,low
21,21,39,Hang Seng Investment Management Ltd,Z915N4R25,Hang Seng FTSE China 50 Index ETF,0.96,0.0,0.0,99.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,1.8,18.37,33.76,2.5,4.51,26.93,4.51,1.31,0.0,3.27,2.45,0.08,0.51,Z922YZ7H9,China Equity,EUCA000504,0.0,Equity,Fund,0.2875538280661085,-18.98621,-3.02333,-11.12197,-10.06967,-17.44579,-9.53265,-8.22659,-0.27,-0.24,-0.27,46.93,29.88,25.59,Z922YZLP5,4.98,6.7,7.02,-11.73501,34.13333333333333,6.2333333333333325,high
22,22,40,PT BNP Paribas Asset Management,Z95FHEED4,Reksa Dana Indeks BNP Paribas IDX Growth30 ETF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z95X0DJ40,Indonesia Equity,EUCA000780,0.0,Equity,Fund,0.14322965005144472,5.15437,0.0,0.0,0.0,5.15437,0.0,0.0,0.11,0.0,0.0,16.24,0.0,0.0,Z95X0DJA6,4.77,0.0,0.0,1.7181233333333334,5.413333333333332,1.59,low
23,23,41,OSSIAM,Z94135CJ9,Ossiam ESG Low Carbon Shiller Barclays CAPE® US Sector UCITS ETF 1A (USD),0.75,0.0,0.18,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0,0.0,3.19,94.05,0.21,20.69,0.0,26.97,0.99,0.0,23.07,0.0,1.28,0.0,4.92,21.87,0.21,0.0,Z94130VK6,US Large-Cap Blend Equity,EUCA000526,0.0,Equity,Fund,0.2157158357479423,-1.60375,0.0,13.97855,0.0,-1.60375,13.97855,0.0,-0.06,0.67,0.0,25.22,21.24,0.0,Z94130VW0,6.04,4.82,0.0,4.124933333333334,15.486666666666665,3.62,medium
24,24,42,Amundi Luxembourg S.A.,Z915P1NN7,Lyxor Dow Jones Industrial Average (LUX) UCITS ETF,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.15,2.9,13.9,6.72,3.36,21.31,20.48,15.25,0.0,0.0,14.92,0.01,0.0,Z922YWWW5,US Large-Cap Blend Equity,EUCA000526,0.0,Equity,Fund,0.17759045328661013,-3.4926800000000005,9.72614,8.889669999999997,5.65829,-2.2385,10.30776,7.090560000000001,-0.12,0.53,0.38,23.0,20.49,18.69,Z922YYM44,9.39,7.19,6.02,5.053273333333333,20.726666666666667,7.533333333333334,medium
25,25,44,NewFunds (Pty) Limited,Z94FJGXJ4,NewFunds S&P Namibia Bond ETF,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,91.94,0.09,0.27,1.57,1.22,0.0,1.0,0.69,2.14,0.0,0.04,0.38,92.54,0.06,Z94GPGYS4,ZAR/NAD Diversified Bond,EUCA000723,0.0,Fixed Income,Fund,0.031853637156514215,10.5566,0.0,8.68287,0.0,10.5566,8.68287,0.0,1.31,0.49,0.0,3.6,9.04,0.0,Z94GPGZ04,4.54,4.14,0.0,6.4131566666666675,4.213333333333333,2.893333333333333,low
26,26,45,DWS Investment S.A. (ETF),Z915P0D83,Xtrackers II Germany Government Bond 1-3 UCITS ETF 1D,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z922Z09Z3,EUR Government Bond - Short Term,EUCA000837,0.0,Fixed Income,Fund,0.013689174016729588,-6.45011,-1.4221,-3.15041,-2.11199,-4.97858,-2.40172,-1.65865,-2.79,-1.58,-1.17,1.93,1.28,1.07,Z91V3MZQ8,0.51,0.39,0.55,-3.012983333333333,1.4266666666666667,0.4833333333333334,low
27,27,46,DWS Investment S.A. (ETF),Z92FMQQ74,Xtrackers FTSE 100 Income UCITS ETF 1D,0.09,0.0,0.01,0.06,0.0,0.0,0.0,3.35,0.78,0.02,0.09,0.0,0.0,90.78,3.71,1.2,10.82,3.62,7.07,18.11,13.92,17.58,12.32,9.97,0.0,1.1,0.49,1.2,3.8,Z922YZ466,UK Large-Cap Equity,EUCA000550,0.0,Equity,Fund,0.17339701423969514,1.62473,1.69533,3.58385,0.14681,9.4931,9.60313,5.48502,0.62,0.65,0.41,12.86,14.74,13.9,Z91V3MZG0,1.38,2.07,1.79,8.19375,13.833333333333336,1.7466666666666668,low
28,28,49,UTI International (Singapore) Pvt. Ltd.,Z95H7K7B9,UTI India Sovereign Bond UCITS ETF A USD Accumulating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z95PGZDW5,Other Bond,EUCA000771,0.0,Fixed Income,Fund,0.06878629624364584,-5.61594,0.0,0.0,0.0,-5.61594,0.0,0.0,-1.48,0.0,0.0,5.98,0.0,0.0,Z95PGZDY1,0.0,0.0,0.0,-1.87198,1.9933333333333327,0.0,low
29,29,53,PT Danareksa Investment Management,Z955R4TS8,Danareksa ETF MSCI Indonesia ESG Screened,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z95B8YQ12,Indonesia Equity,EUCA000780,0.0,Equity,Fund,0.14322965005144472,3.3017300000000005,0.0,0.0,0.0,3.3017300000000005,0.0,0.0,-0.03,0.0,0.0,12.76,0.0,0.0,Z95B8YQ46,2.64,0.0,0.0,1.1005766666666668,4.253333333333333,0.88,low
30,30,59,PT PNM Investment Management,Z94DXFDG3,PNM CORE LQ45 ETF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z94F9GSH5,Indonesia Equity,EUCA000780,0.0,Equity,Fund,0.14322965005144472,6.645389999999999,0.0,4.75336,0.0,6.645389999999999,4.75336,0.0,0.2,0.14,0.0,14.9,20.71,0.0,Z94F9GSJ1,4.6,4.56,0.0,3.799583333333333,11.87,3.0533333333333332,low
31,31,61,PT Pinnacle Persada Investama,Z940RDPD7,Pinnacle IDX30 ETF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z94AY7K29,Indonesia Equity,EUCA000780,0.0,Equity,Fund,0.14322965005144472,-7.62788,0.0,-5.05354,0.0,-7.62788,-5.05354,0.0,-0.65,-0.33,0.0,16.17,20.85,0.0,Z94AY7KA1,9.02,5.85,0.0,-4.22714,12.340000000000002,4.956666666666666,low
32,32,62,PT Pinnacle Persada Investama,Z92BEFB07,Pinnacle Indonesia Large Cap ETF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z94AY7K03,Indonesia Equity,EUCA000780,0.0,Equity,Fund,0.14322965005144472,0.72948,0.0,3.6797,-3.2937800000000004,0.72948,3.6797,-3.2937800000000004,-0.16,0.08,-0.38,15.86,19.63,17.45,Z94AY7K86,6.67,5.04,4.21,0.3717999999999999,17.646666666666665,5.306666666666668,medium
33,33,66,China Intl Capital Corp HK Asse Mgt Ltd.,Z945U07W8,CICC CSI SELECT 100 ETF,0.68,0.0,0.0,99.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,20.5,2.18,4.01,3.14,5.11,37.9,3.75,12.1,0.0,5.8,2.61,0.87,2.03,Z946V0598,China Equity - A Shares,EUCA000896,0.0,Equity,Fund,0.1965766821091648,-9.97568,0.0,1.88709,0.0,-9.97568,1.88709,0.0,-0.49,0.12,0.0,20.29,15.89,0.0,Z946V05E7,14.22,12.16,0.0,-2.696196666666667,12.06,8.793333333333335,low
34,34,68,OSSIAM,Z947PF1E3,Ossiam World ESG Machine Learning UCITS ETF 1A (EUR),0.65,0.0,3.49,0.0,2.27,10.11,0.0,2.06,6.36,16.88,0.0,0.0,0.0,2.45,56.23,0.15,1.61,13.73,2.56,7.98,0.34,12.73,19.78,8.92,0.0,7.54,7.63,0.14,17.04,Z946V0564,Global Large-Cap Blend Equity,EUCA000555,0.0,Equity,Fund,0.1263793857808872,-6.40395,0.0,1.7629,0.0,-6.40395,1.7629,0.0,-0.75,0.06,0.0,18.27,17.51,0.0,Z946V05K3,6.97,6.23,0.0,-1.5470166666666667,11.926666666666668,4.4,low
35,35,70,ABSA Capital ETF,Z92PQT1Y0,NewFunds Value Equity ETF,0.5,69.34,0.0,0.0,3.12,0.0,0.0,0.0,7.03,0.0,0.0,0.0,0.0,18.44,0.0,2.07,25.39,8.67,3.76,9.17,5.63,35.86,8.4,3.11,0.0,0.0,0.0,0.01,0.0,Z94A2HE52,South Africa & Namibia Equity,EUCA000715,0.0,Equity,Fund,0.1847683803140376,9.41311,0.0,19.33389,0.0,14.600979999999998,21.19093,0.0,0.6,0.78,0.0,15.69,22.79,0.0,Z94A2HE60,11.3,13.63,0.0,11.930636666666668,12.826666666666664,8.31,low
36,36,72,OSSIAM,Z95LLBYQ1,Ossiam ESG Shiller Barclays CAPE® Europe Sector UCITS ETF 1D EUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.66,51.2,0.0,0.0,0.0,0.0,19.92,1.76,0.46,23.5,25.43,0.53,24.84,0.0,23.29,0.0,0.42,0.0,1.54,0.0,0.45,0.0,Z95LU4TT7,Europe Large-Cap Blend Equity,EUCA000511,0.0,Equity,Fund,0.15193693294445276,-2.25687,0.0,0.0,0.0,-2.25687,0.0,0.0,-0.08,0.0,0.0,16.67,0.0,0.0,Z95LU4U32,5.85,0.0,0.0,-0.75229,5.5566666666666675,1.95,low
37,37,85,Northern Trust Fund Managers (Ireland) Limited,Z958BWR18,FlexShares® Developed Markets Low Volatility Climate ESG UCITS ETF,0.25,0.0,3.45,0.29,1.54,3.17,0.0,4.76,10.65,8.55,0.0,0.0,0.0,3.93,62.49,1.17,1.41,7.76,9.88,7.55,3.71,19.16,15.66,11.87,0.0,1.81,17.34,1.17,2.68,Z9595S7G1,Global Large-Cap Blend Equity,EUCA000555,0.0,Equity,Fund,0.1495727574188043,-0.99586,0.0,0.0,0.0,-0.99586,0.0,0.0,-0.52,0.0,0.0,16.17,0.0,0.0,Z9595S7H9,8.88,0.0,0.0,-0.3319533333333333,5.3900000000000015,2.9600000000000004,low
38,38,86,Northern Trust Fund Managers (Ireland) Limited,Z958C7946,FlexShares® Developed Markets High Dividend Climate ESG UCITS ETF,0.29,0.0,1.39,0.0,3.44,3.7,0.0,4.44,11.66,7.03,0.0,0.0,0.0,5.72,61.65,0.97,2.19,6.27,11.81,5.24,2.98,19.1,14.03,8.99,0.0,4.12,22.86,0.97,1.44,Z9595S7C0,Global Equity Income,EUCA000876,0.0,Equity,Fund,0.14379345642899213,-3.78392,0.0,0.0,0.0,-1.09475,0.0,0.0,-0.36,0.0,0.0,21.41,0.0,0.0,Z9595S7F3,7.42,0.0,0.0,-0.3649166666666666,7.136666666666668,2.473333333333333,low
